date,date[MJD],m_bol,m_bol_err,M_bol,M_bol_err,L_cgs,L_cgs_err,L_SI,L_SI_err
2020-10-12 14:44:00.000000,59134.61388888889,19.199387136417602,0.1245069023483788,-19.02242903226372,0.1245069023483788,1.2244524247514516e+43,1.4041419804429076e+42,1.2244524247514516e+36,1.4041419804429077e+35
2020-10-12 20:58:40.000000,59134.87407407407,18.860475769230767,0.08222950353790978,-19.361340399450555,0.08222950353790978,1.6730405316379255e+43,1.2670968483180921e+42,1.6730405316379254e+36,1.267096848318092e+35
2020-10-13 12:06:00.000000,59135.50416666666,18.655499104183587,0.07144758665773257,-19.566317064497735,0.07144758665773257,2.0206780713493665e+43,1.3297205249066537e+42,2.0206780713493665e+36,1.3297205249066535e+35
2020-10-13 21:25:45.000000,59135.892881944426,18.109348896657764,0.07695217480691023,-20.112467272023558,0.07695217480691023,3.3416211534789166e+43,2.3683931144053823e+42,3.3416211534789167e+36,2.368393114405382e+35
2020-10-15 11:19:00.000000,59137.47152777777,18.1603344053626,0.060467171487306764,-20.06148176331872,0.060467171487306764,3.188328108871216e+43,1.775653991015839e+42,3.188328108871216e+36,1.775653991015839e+35
2020-10-15 12:20:00.000000,59137.513888888876,18.314828706691927,0.06268107450303173,-19.906987461989395,0.06268107450303173,2.765446668052096e+43,1.5965311635983408e+42,2.765446668052096e+36,1.5965311635983406e+35
2020-10-15 13:44:00.000000,59137.57222222224,18.42635063681074,0.06882268621646019,-19.795465531870583,0.06882268621646019,2.4954939161429206e+43,1.5818445953365792e+42,2.4954939161429205e+36,1.5818445953365788e+35
2020-10-15 19:36:00.000000,59137.81666666666,18.19797648713778,0.06670563667697926,-20.023839681543542,0.06670563667697926,3.0796841316222825e+43,1.892101321329878e+42,3.0796841316222824e+36,1.892101321329878e+35
2020-10-15 20:37:00.000000,59137.85902777778,18.372838241160228,0.06812029296704096,-19.848977927521094,0.06812029296704096,2.6215700913772067e+43,1.6448021340324612e+42,2.6215700913772066e+36,1.644802134032461e+35
2020-10-15 21:51:00.000000,59137.91041666666,17.768715610738326,0.11108516890144876,-20.453100557942996,0.11108516890144876,4.573098185118068e+43,4.678884079488883e+42,4.5730981851180685e+36,4.678884079488883e+35
2020-10-17 19:34:00.000000,59139.81527777777,18.39578141139092,0.07628323704512995,-19.8260347572904,0.07628323704512995,2.5667537523318155e+43,1.8033872690947363e+42,2.5667537523318156e+36,1.8033872690947362e+35
2020-10-17 20:42:00.000000,59139.8625,18.084397605766863,0.0878827925917636,-20.13741856291446,0.0878827925917636,3.4193041063946705e+43,2.7676888020639475e+42,3.4193041063946705e+36,2.767688802063947e+35
2020-10-17 21:40:00.000000,59139.902777777774,18.2903738164858,0.07094208711584175,-19.93144235219552,0.07094208711584175,2.8284417787030183e+43,1.8481060333760922e+42,2.828441778703018e+36,1.848106033376092e+35
2020-10-21 20:24:30.050166,59143.85034780285,18.220131561348566,0.05480413646760944,-20.001684607332756,0.05480413646760944,3.017478230698889e+43,1.52311664673743e+42,3.017478230698889e+36,1.5231166467374302e+35
2020-10-22 11:49:31.506566,59144.49272577044,18.629558921730872,0.0559834536289056,-19.59225724695045,0.0559834536289056,2.0695370293459475e+43,1.0671084726469273e+42,2.0695370293459477e+36,1.0671084726469272e+35
2020-10-27 10:29:26.155347,59149.437108279475,18.916695583786964,0.08281566198946977,-19.305120584894357,0.08281566198946977,1.5886145526650574e+43,1.2117323273231947e+42,1.5886145526650574e+36,1.2117323273231948e+35
2020-10-29 11:34:14.689549,59151.48211446237,19.019604337503477,0.05039731190787428,-19.202211831177845,0.05039731190787428,1.4449573722582933e+43,6.707151061569899e+41,1.4449573722582932e+36,6.707151061569898e+34
2020-10-30 10:53:05.834188,59152.45353974755,19.08051651069409,0.05905772600642437,-19.141299657987233,0.05905772600642437,1.366124140924934e+43,7.430919670167933e+41,1.366124140924934e+36,7.430919670167933e+34
2020-11-01 18:14:21.368039,59154.75996953749,19.053435256467377,0.059760289815296325,-19.168380912213944,0.059760289815296325,1.4006275596634428e+43,7.709230706497896e+41,1.4006275596634427e+36,7.709230706497895e+34
2020-11-02 16:54:25.905304,59155.70446649657,19.23616397843671,0.02768029612636598,-18.98565219024461,0.02768029612636598,1.1836714667836662e+43,3.017710616383176e+41,1.1836714667836663e+36,3.0177106163831764e+34
2020-11-03 12:50:01.467561,59156.53473920789,19.231898606476125,0.05079325739380101,-18.989917562205196,0.05079325739380101,1.18833072867356e+43,5.559286713104084e+41,1.18833072867356e+36,5.559286713104084e+34
