Wavelength (AA), Flux (cgs) 
5167.369140625, -0.032338478903332545
5168.8704867363, -0.03233165265112487
5170.3718328476, -0.0322253033989172
5171.8731789589, -0.03224618714670953
5173.3745250702, -0.03222958789450186
5174.87587118149, -0.03062725164229424
5176.37721729279, -0.029232738390086565
5177.87856340409, -0.030421766137878895
5179.37990951539, -0.030425962885671225
5180.88125562668, -0.024344461633463592
5182.38260173798, -0.013152350381255933
5183.88394784928, 0.0019315808709517365
5185.38529396058, 0.020419322123159413
5186.88664007187, -0.021166986624632966
5188.38798618317, 0.007300914627574703
5189.88933229447, 0.004175200879782372
5191.39067840577, -0.02264041736800996
5192.89202451706, -0.016452226615802326
5194.39337062836, -0.03446021036359466
5195.89471673966, -0.01757724161138699
5197.39606285096, -0.01804642735917932
5198.89740896226, 0.0037008358930283487
5200.39875507355, -0.009099122854764021
5201.90010118485, -0.029479391602556353
5203.40144729615, 0.0020478321496513133
5204.90279340744, -0.022805191598141053
5206.40413951874, -0.00011793034593339004
5207.90548563004, 0.014152614406274279
5209.40683174134, 0.017790542158481953
5210.90817785264, -0.013843783089310384
5212.40952396393, 0.009941719662897246
5213.91087007523, 0.012603370915104922
5215.41221618653, 0.016995877167312583
5216.91356229783, -0.00752346658047974
5218.41490840912, 0.04180127967172788
5219.91625452042, 0.015050205923935555
5221.41760063172, 0.008567287176143225
5222.91894674302, 0.00895904342835089
5224.42029285431, -0.007355455319441479
5225.92163896561, -0.02814258406723381
5227.42298507691, 0.03250911718497386
5228.92433118821, -0.011643691562818474
5230.4256772995, 0.02824409968938916
5231.9270234108, 0.018319690941596828
5233.4283695221, 0.0019724071938044957
5234.9297156334, -0.008518911553987839
5236.43106174469, -0.007655355301780211
5237.93240785599, -0.024571504549572538
5239.43375396729, -0.016004301297364867
5240.93510007859, 0.012740508454842805
5242.43644618988, 0.01354451470705043
5243.93779230118, -0.0177015515407419
5245.43913841248, -0.011485200788534234
5246.94048452378, -0.0013173165363265672
5248.44183063508, 0.008110689715881109
5249.94317674637, -0.007505549031911267
5251.44452285767, -0.007287047779703598
5252.94586896897, -0.007086266527495928
5254.44721508027, -0.0015667652752882517
5255.94856119156, -0.0023491640230806354
5257.44990730286, 0.008342972229127037
5258.95125341416, -0.0030751565186652886
5260.45259952546, -0.021343280266457623
5261.95394563675, 0.017378625985750008
5263.45529174805, 0.003950972237957678
5264.95663785935, -0.012437511509834659
5266.45798397065, -0.026160272257626984
5267.95933008194, -0.038896069005419365
5269.46067619324, 0.006923897246788312
5270.96202230454, -0.022789176501004017
5272.46336841584, -0.02354283874879635
5273.96471452714, -0.00652062899658868
5275.16699218751, 0.0016498135890095035
5276.66913211346, 0.0017768008139426809
5278.17127203942, 0.010112755538875862
5279.67341196537, 0.006766597763809035
5281.17555189133, -0.0017035725112578056
5282.67769181729, 0.019822154713675374
5284.17983174325, 0.00900864943860855
5285.6819716692, 0.002406239163541728
5287.18411159516, 0.0003035588884748863
5288.68625152112, -0.005376298886591934
5290.18839144707, 0.0018383768383412403
5291.69053137303, 0.0014093725632744187
5293.19267129899, 0.013225230288207579
5294.69481122494, 0.009532502513140754
5296.1969511509, 0.004472015888073931
